年份,月份,最高气温_max,最低气温_min,平均气温,AQI_min,AQI_max,平均AQI
2011,1,4,-10,-8,,,
2011,2,7,-13,-2,,,
2011,3,16,-1,3,,,
2011,4,22,0,11,,,
2011,5,28,10,18,,,
2011,6,30,15,22,,,
2011,7,30,19,24,,,
2011,8,31,18,24,,,
2011,9,27,10,19,,,
2011,10,22,0,13,,,
2011,11,18,-1,5,,,
2011,12,5,-10,-4,,,
2012,1,3,-10,-7,,,
2012,2,5,-10,-4,,,
2012,3,18,-1,2,,,
2012,4,22,-2,12,,,
2012,5,28,10,18,,,
2012,6,29,14,21,,,
2012,7,32,19,25,,,
2012,8,30,14,23,,,
2012,9,29,10,19,,,
2012,10,24,-1,13,,,
2012,11,14,-11,3,,,
2012,12,3,-10,-6,,,
2013,1,2,-10,-6,,,
2013,2,10,-10,-3,,,
2013,3,13,-1,3,,,
2013,4,20,-1,8,,,
2013,5,30,10,18,,,
2013,6,30,14,21,,,
2013,7,34,20,25,,,
2013,8,33,13,26,,,
2013,9,27,11,20,,,
2013,10,23,10,13,,,
2013,11,17,-10,5,,,
2013,12,11,-10,-2,,,
2014,1,7,-10,-3,,,
2014,2,9,-10,-3,,,
2014,3,19,-2,6,,,
2014,4,24,10,13,,,
2014,5,30,10,17,,,
2014,6,30,12,22,,,
2014,7,33,19,25,,,
2014,8,33,16,24,,,
2014,9,30,11,19,,,
2014,10,24,10,13,,,
2014,11,17,-1,5,,,
2014,12,7,-10,-3,,,
2015,1,6,-10,-3,,,
2015,2,9,-10,-1,,,
2015,3,19,-10,5,,,
2015,4,29,-1,12,,,
2015,5,28,10,18,,,
2015,6,29,14,21,,,
2015,7,35,15,24,,,
2015,8,32,17,25,,,
2015,9,28,11,20,,,
2015,10,26,-1,13,,,
2015,11,20,-10,3,,,
2015,12,7,-10,-1,,,
2016,1,5,-10,-7,36,156,71
2016,2,7,-10,-2,31,143,64
2016,3,19,-1,5,39,229,100
2016,4,25,10,12,34,241,84
2016,5,29,10,18,33,117,70
2016,6,31,14,22,34,128,70
2016,7,31,18,25,31,127,66
2016,8,31,14,25,21,132,53
2016,9,29,11,20,20,164,63
2016,10,26,-6,13,26,155,64
2016,11,16,-10,3,31,264,94
2016,12,10,-10,-1,33,290,115
2017,1,6,-10,-4,33,376,103
2017,2,11,-10,-1,35,261,96
2017,3,16,-1,4,44,186,84
2017,4,28,10,13,48,157,80
2017,5,28,10,18,30,194,79
2017,6,35,10,22,39,125,68
2017,7,34,19,26,32,116,63
2017,8,32,13,24,27,90,50
2017,9,29,12,21,24,106,64
2017,10,24,0,13,21,211,70
2017,11,17,-10,3,27,147,64
2017,12,7,-10,-3,33,180,72
2018,1,5,-10,-6,29,149,67
2018,2,7,-10,-4,36,128,75
2018,3,24,-1,5,37,230,97
2018,4,26,-3,12,32,132,74
2018,5,31,10,18,34,116,71
2018,6,33,14,23,43,112,66
2018,7,33,20,25,33,72,52
2018,8,34,18,25,20,75,46
2018,9,30,10,19,25,85,49
2018,10,24,-1,12,29,141,63
2018,11,17,-1,5,28,261,94
2018,12,9,-10,-4,33,150,70
2019,1,7,-10,-3,46,319,96
2019,2,12,-10,-3,38,169,83
2019,3,18,-1,6,34,203,83
2019,4,26,-1,11,34,149,70
2019,5,31,10,19,29,119,68
2019,6,29,14,22,30,83,56
2019,7,33,19,25,34,89,55
2019,8,31,16,24,15,83,41
2019,9,31,11,22,23,116,61
2019,10,28,0,13,22,216,68
2019,11,19,-10,5,29,140,64
2019,12,8,-10,-2,29,218,76
2020,1,8,-10,-3,34,198,88
2020,2,10,-10,-1,24,163,72
2020,3,21,-1,5,30,105,56
2020,4,26,0,11,31,146,69
2020,5,27,10,16,35,121,60
2020,6,35,15,22,31,113,59
2020,7,35,18,24,29,101,50
2020,8,33,16,25,20,86,46
2020,9,32,10,20,18,84,38
2020,10,23,-1,12,22,157,70
2020,11,18,-2,4,23,152,59
2020,12,7,-10,-4,29,136,58
2021,1,8,-10,-6,30,207,75
2021,2,15,-10,-1,30,182,86
2021,3,19,-1,6,31,258,107
2021,4,26,10,11,33,128,67
2021,5,29,10,17,31,192,66
2021,6,34,13,21,25,85,50
2021,7,31,19,25,18,88,42
2021,8,31,17,24,24,81,46
2021,9,29,11,20,23,84,43
2021,10,22,-1,12,21,197,59
2021,11,19,-1,5,27,195,73
2021,12,11,-10,-1,29,111,59
2022,1,7,-10,-4,37,137,69
2022,2,15,-10,-4,29,145,56
2022,3,15,-1,4,31,117,60
2022,4,26,10,12,34,108,63
2022,5,35,10,18,35,90,57
2022,6,34,13,21,24,75,44
2022,7,35,20,26,17,89,39
2022,8,35,14,24,26,65,41
2022,9,31,11,21,24,112,55
2022,10,24,10,12,22,179,58
2022,11,17,-10,6,23,135,62
2022,12,8,-10,-4,55,55,55
2023,1,11,-10,-4,31,204,73
2023,2,12,-2,-1,34,177,78
2023,3,24,-1,6,42,295,102
2023,4,21,0,11,39,257,87
2023,5,28,10,17,33,207,62
2023,6,34,15,23,29,78,50
2023,7,35,19,26,17,97,43
2023,8,34,15,25,25,69,39
2023,9,31,10,21,26,99,50
2023,10,26,10,15,28,151,64
2023,11,19,-10,3,28,134,58
2023,12,14,-10,-4,73,73,73
2024,1,6,-10,-4,26,131,65
2024,2,12,-10,-2,30,182,70
2024,3,16,-1,4,38,203,75
